text_raw,created_at
富米马,Thu Feb 06 15:16:21 +0800 2025
88不是不聪明吧,Thu Feb 06 14:51:02 +0800 2025
要付费是没一个人说哇[泪],Thu Feb 06 14:41:31 +0800 2025
就是逗你玩的[笑cry],Thu Feb 06 12:41:32 +0800 2025
多少钱？,Thu Feb 06 10:14:36 +0800 2025
[doge],Thu Feb 06 08:46:41 +0800 2025
[赞],Thu Feb 06 01:58:05 +0800 2025
140,Thu Feb 06 00:46:05 +0800 2025
这是什么测试题哟，五花八门的图形，我尽然给做完了，结果呢？还要收费[允悲],Wed Feb 05 23:11:13 +0800 2025
[doge][doge][doge],Wed Feb 05 22:46:41 +0800 2025
现在高情商的人相对活得安逸些，高智商的人就不一定了，亦正亦邪，亦生亦死，让人惴惴不安。,Wed Feb 05 22:09:47 +0800 2025
@金智羽的肱二头肌 快去测你的智力,Wed Feb 05 22:01:00 +0800 2025
117,Wed Feb 05 21:41:17 +0800 2025
我试试,Wed Feb 05 21:37:16 +0800 2025
。,Wed Feb 05 21:29:27 +0800 2025
题好多啊[泪],Wed Feb 05 20:32:45 +0800 2025
轻微智障怎么回事,Wed Feb 05 20:05:27 +0800 2025
[哇][打call],Wed Feb 05 19:15:42 +0800 2025
我记得我140多分，也不妨碍别人看我是缺心眼,Wed Feb 05 18:46:59 +0800 2025
根本不上钩的都是智商高的，,Wed Feb 05 18:28:25 +0800 2025
好看,Wed Feb 05 18:27:38 +0800 2025
没人告诉要钱啊,Wed Feb 05 18:14:41 +0800 2025
十八次,Wed Feb 05 18:12:48 +0800 2025
因为要交钱，所以我没测出来。,Wed Feb 05 17:03:21 +0800 2025
"“你的名字是不可言说的万语千言 笔砚一染 爱意不变“ “𝒴𝓸𝓊𝓇 𝓃𝒶𝓂𝓮 𝒾𝓈 𝓊𝓃𝓈𝓅𝓮𝒶𝓀𝒶𝒷𝓁𝓮, 𝒶𝓃𝒹 𝓎𝓸𝓊𝓇 𝓁𝓸𝓋𝓮 𝓌𝒾𝓁𝓁 𝓃𝓮𝓋𝓮𝓇 𝒸𝒽𝒶𝓃𝓰𝓮.""",Wed Feb 05 16:19:34 +0800 2025
交钱给63智商税[允悲],Wed Feb 05 16:12:24 +0800 2025
太sb了用了10分钟还要钱,Wed Feb 05 16:12:10 +0800 2025
[打call],Wed Feb 05 16:07:58 +0800 2025
要不要再多刷两套模拟题,Wed Feb 05 15:43:22 +0800 2025
cnm做了半天要收劳资钱，死骗子,Wed Feb 05 14:17:45 +0800 2025
你们都愿意参与这个测试了，能聪明到哪里去[笑cry],Wed Feb 05 14:17:18 +0800 2025
付费的,Wed Feb 05 13:59:11 +0800 2025
昨晚2点半，身体不舒服，起来吃东西，刷微博刷到有智商检测，出于好奇，试着测试一下自己的智商，花了不少时间，测得智商为106，达到同龄人的中上，还算满意。必竟年龄大了，不能和年青人相比，知足者常乐，哈哈哈。,Wed Feb 05 13:14:14 +0800 2025
要钱吗？,Wed Feb 05 12:51:41 +0800 2025
三四十岁了，还出钱去测试的，基本上智商也高不到那里去。,Wed Feb 05 11:28:13 +0800 2025
10,Wed Feb 05 10:38:53 +0800 2025
1,Wed Feb 05 09:52:22 +0800 2025
我就想问问，你们都说测了的人，都花了钱吗？我觉得花了钱的智商还是有点问题的！,Wed Feb 05 09:48:45 +0800 2025
还要收费？大骗子,Wed Feb 05 09:32:17 +0800 2025
还要花钱？,Wed Feb 05 09:32:03 +0800 2025
666,Wed Feb 05 09:18:14 +0800 2025
[心],Wed Feb 05 09:13:53 +0800 2025
116[允悲],Wed Feb 05 08:50:46 +0800 2025
还要钱[允悲],Wed Feb 05 08:11:15 +0800 2025
不是，我绞尽脑汁的测完了，你们也没说要钱啊[泪][泪][泪],Wed Feb 05 08:05:49 +0800 2025
[心],Wed Feb 05 07:11:38 +0800 2025
凡是没有得到测试报告的都是满分。,Wed Feb 05 06:38:38 +0800 2025
花钱买评判是第61道题:我没上当。,Wed Feb 05 06:35:03 +0800 2025
[心],Wed Feb 05 05:53:16 +0800 2025
从精子到傻子的堕落[允悲][允悲][允悲]⭕️⭕️⭕️,Wed Feb 05 05:30:10 +0800 2025
我智商⭕️,Wed Feb 05 05:29:07 +0800 2025
测智商是自嗨的体现[允悲][允悲][允悲],Wed Feb 05 05:28:24 +0800 2025
[允悲],Wed Feb 05 02:48:06 +0800 2025
完全是骗人术,Wed Feb 05 01:51:04 +0800 2025
